time_s,total_rate_gbps,reconstructed_rate_gbps,ecn_marks
0.1,0.56,0.8,0
0.10001,1.6,0.8,0
0.10002,1.6,0.8,0
0.10003,10.68,0.8,0
0.10004,197.12,0.8,0
0.10005,20.48,0.8,0
0.10006,25.04,0.8,0
0.10007,130.04,0.8,0
0.10008,149.6,0.8,0
0.10009,96.04,0.8,0
0.1001,132.4,0.8,0
0.10011,47.48,0.8,0
0.10012,100,0.8,0
0.10013,184,0.8,0
0.10014,142.72,0.8,0
0.10015,198.4,0.8,0
0.10016,237.88,21.6,0
0.10017,172,0.8,0
0.10018,142.48,0.8,0
0.10019,137.6,0.8,0
0.1002,110.8,0.8,0
0.10021,79.2,0.8,0
0.10022,174.04,0.8,0
0.10023,177.52,0.8,0
0.10024,244.16,28,0
0.10025,254.16,38.4,0
0.10026,311.04,95.2,0
0.10027,320,104,0
0.10028,377.84,161.6,0
0.10029,466.64,250.4,0
0.1003,467.2,251.2,0
0.10031,418,202.4,61
0.10032,431.2,215.2,14
0.10033,488.96,272.8,42
0.10034,463.44,247.2,102
0.10035,364.32,148,37
0.10036,330.96,115.2,96
0.10037,254.4,38.4,114
0.10038,220,4,108
0.10039,166.16,0.8,119
0.1004,221.08,4.8,123
0.10041,243.2,27.2,113
0.10042,245.6,29.6,122
0.10043,157.36,0.8,106
0.10044,130.96,0.8,118
0.10045,136.4,0.8,126
0.10046,113.76,0.8,81
0.10047,147.44,0.8,66
0.10048,147.2,0.8,25
0.10049,208.76,0.8,13
0.1005,141.92,0.8,0
0.10051,195.2,0.8,0
0.10052,153.12,0.8,0
0.10053,164,0.8,0
0.10054,156.8,0.8,0
0.10055,211.84,0.8,0
0.10056,304.28,88,0
0.10057,407.12,191.2,0
0.10058,360.64,144.8,0
0.10059,311.2,95.2,1
0.1006,313.4,97.6,15
0.10061,319.28,103.2,151
0.10062,356,140,34
0.10063,385.32,169.6,161
0.10064,344.4,128.8,145
0.10065,315.2,99.2,163
0.10066,384.24,168,136
0.10067,475.2,259.2,109
0.10068,392.32,176,103
0.10069,299,83.2,90
0.1007,261.2,45.6,147
0.10071,332.88,116.8,20
0.10072,277.84,61.6,45
0.10073,264.8,48.8,59
0.10074,260.8,44.8,7
0.10075,241.36,25.6,1
0.10076,250.36,34.4,1
0.10077,281.4,65.6,4
0.10078,271.2,55.2,15
0.10079,271.2,55.2,33
0.1008,204.28,0.8,45
0.10081,176,0.8,30
0.10082,189.12,0.8,72
0.10083,219.2,3.2,4
0.10084,232.72,16.8,0
0.10085,242.16,26.4,0
0.10086,335.76,120,0
0.10087,313.36,97.6,0
0.10088,332.28,116,0
0.10089,241.12,24.8,0
0.1009,139.92,0.8,0
0.10091,144.16,0.8,0
0.10092,179.32,0.8,0
0.10093,144.32,0.8,0
0.10094,177.6,0.8,0
0.10095,143.2,0.8,0
0.10096,209.28,0.8,0
0.10097,217.04,0.8,0
0.10098,282.4,66.4,0
0.10099,193.6,0.8,0
0.101,136,0.8,0
0.10101,208.8,0.8,0
0.10102,175.2,0.8,0
0.10103,183.92,0.8,0
0.10104,328.8,112.8,0
0.10105,434.4,218.4,35
0.10106,257.52,41.6,38
0.10107,158.16,0.8,27
0.10108,158.16,0.8,101
0.10109,147.88,0.8,35
0.1011,246.88,31.2,70
0.10111,198.4,0.8,75
0.10112,107.8,0.8,41
0.10113,190.96,0.8,61
0.10114,161.76,0.8,61
0.10115,237.2,21.6,61
0.10116,160,0.8,61
0.10117,79.04,0.8,37
0.10118,36.48,0.8,3
0.10119,167.2,0.8,0
0.1012,133.2,0.8,0
0.10121,198.8,0.8,0
0.10122,133.56,0.8,0
0.10123,139.52,0.8,0
0.10124,138.4,0.8,0
0.10125,140.24,0.8,0
0.10126,283.2,67.2,0
0.10127,164.84,0.8,0
0.10128,204.56,40,0
0.10129,121.88,0.8,0
0.1013,116.88,0.8,0
0.10131,175.36,10.4,0
0.10132,279.92,115.2,0
0.10133,210.8,46.4,0
0.10134,240.56,76,0
0.10135,452.8,288,0
0.10136,659.2,289.6,12
0.10137,621.28,252,135
0.10138,412,42.4,14
0.10139,506.16,136.8,108
0.1014,501.68,132,46
0.10141,521.6,152,106
0.10142,495.2,125.6,124
0.10143,452.76,83.2,61
0.10144,378.72,111.2,206
0.10145,429.92,162.4,109
0.10146,382.88,116,31
0.10147,367.08,100,149
0.10148,289.84,22.4,67
0.10149,348.16,80.8,50
0.1015,240.56,0.8,40
0.10151,243.52,0.8,39
0.10152,299.48,32,45
0.10153,381.76,114.4,55
0.10154,287.64,20.8,60
0.10155,267.92,0.8,48
0.10156,219.8,0.8,9
0.10157,255.92,0.8,0
0.10158,297.84,30.4,0
0.10159,249.44,0.8,0
0.1016,320.28,52.8,0
0.10161,368.84,101.6,2
0.10162,333.28,66.4,30
0.10163,262.4,0.8,68
0.10164,202.64,0.8,0
0.10165,254.96,0.8,55
0.10166,294.96,28,67
0.10167,289.76,22.4,70
0.10168,253.6,0.8,77
0.10169,182.4,0.8,52
0.1017,187.76,0.8,35
0.10171,342.88,76,60
0.10172,284.8,17.6,58
0.10173,259.2,0.8,52
0.10174,305.92,38.4,16
0.10175,333.6,66.4,0
0.10176,213.88,0.8,0
0.10177,290.36,23.2,5
0.10178,308.24,40.8,17
0.10179,304.32,36.8,85
0.1018,366.24,99.2,70
0.10181,317.6,50.4,49
0.10182,294,27.2,117
0.10183,295.4,28,129
0.10184,238.4,0.8,82
0.10185,186.8,0.8,14
0.10186,231.2,0.8,93
0.10187,335.2,68,73
0.10188,339.68,72.8,26
0.10189,272.4,5.6,115
0.1019,223.36,0.8,97
0.10191,286.16,19.2,81
0.10192,304.32,36.8,91
0.10193,310.08,43.2,58
0.10194,206.68,0.8,69
0.10195,198.4,0.8,74
0.10196,281.04,13.6,36
0.10197,343.2,76,87
0.10198,482.04,215.2,39
0.10199,480.04,212.8,67
0.102,330.4,63.2,62
0.10201,277.28,10.4,70
0.10202,286.4,19.2,102
0.10203,268.8,1.6,101
0.10204,235.32,0.8,58
0.10205,226.36,0.8,65
0.10206,221.88,0.8,53
0.10207,286.96,20,68
0.10208,288,20.8,64
0.10209,321.6,54.4,55
0.1021,242.56,0.8,71
0.10211,228.48,0.8,60
0.10212,391.48,124,39
