time_s,total_rate_gbps,reconstructed_rate_gbps,ecn_marks
0.0999937,0.6917,0.988142,0
0.100018,2.96443,2.96443,0
0.100026,1.72925,1.97628,0
0.100034,47.0356,47.4308,0
0.100042,213.34,213.439,0
0.10005,20.8498,20.751,0
0.100058,0.296443,0,0
0.100067,115.613,115.613,0
0.100075,149.753,150.198,0
0.100083,121.245,121.542,0
0.100091,96.1957,95.8498,0
0.100099,156.621,157.115,0
0.100107,49.753,49.4071,0
0.100115,50.3953,50.3953,0
0.100123,123.518,123.518,0
0.100131,193.676,193.676,0
0.100139,143.676,143.281,0
0.100148,175.889,175.889,0
0.100156,225.148,225.296,0
0.100164,231.719,232.213,0
0.100172,160.079,160.079,0
0.10018,143.379,143.281,0
0.100188,117.589,117.589,0
0.100196,163.538,164.032,0
0.100204,84.9802,84.9802,0
0.100212,82.0158,82.0158,0
0.10022,160.128,160.079,0
0.100228,165.909,166.008,0
0.100237,235.672,236.166,0
0.100245,245.257,245.059,0
0.100253,270.059,269.763,0
0.100261,306.028,306.324,0
0.100269,305.83,306.324,0
0.100277,364.921,364.625,0
0.100285,393.972,394.269,0
0.100293,495.652,496.047,0
0.100301,468.379,468.379,0
0.100309,432.312,432.806,2
0.100318,360.672,360.672,2
0.100326,512.055,511.858,4
0.100334,487.154,487.154,45
0.100342,455.83,455.534,77
0.10035,372.925,372.53,130
0.100358,343.577,343.874,147
0.100366,280.632,280.632,147
0.100374,253.953,253.953,148
0.100382,212.451,212.451,149
0.10039,162.747,163.043,125
0.100398,201.927,201.581,125
0.100407,241.107,241.107,124
0.100415,243.083,243.083,123
0.100423,246.047,246.047,125
0.100431,143.972,144.269,124
0.100439,143.972,144.269,125
0.100447,113.636,113.636,135
0.100455,140.02,140.316,136
0.100463,115.613,115.613,136
0.100471,144.565,144.269,135
0.100479,147.233,147.233,119
0.100488,177.223,176.877,44
0.100496,234.486,234.19,55
0.100504,94.5652,94.8617,49
0.100512,221.344,221.344,61
0.10052,144.664,144.269,104
0.100528,172.925,172.925,54
0.100536,157.115,157.115,39
0.100544,161.067,161.067,24
0.100552,226.087,226.285,24
0.10056,299.753,299.407,1
0.100569,423.419,423.913,0
0.100577,372.925,372.53,0
0.100585,321.937,322.134,0
0.100593,312.253,312.253,0
0.100601,313.982,314.229,1
0.100609,317.787,318.182,5
0.100617,317.688,318.182,5
0.100625,406.077,406.126,22
0.100633,375.198,375.494,78
0.100641,329.545,330.04,96
0.100649,322.134,322.134,161
0.100658,329.348,329.051,104
0.100666,475.296,475.296,125
0.100674,446.64,446.64,170
0.100682,388.735,388.34,176
0.10069,301.136,301.383,162
0.100698,257.905,257.905,158
0.100706,316.206,316.206,157
0.100714,309.19,309.289,145
0.100722,278.656,278.656,147
0.10073,265.81,265.81,126
0.100739,258.893,258.893,54
0.100747,265.514,265.81,44
0.100755,217.391,217.391,36
0.100763,265.761,265.81,56
0.100771,280.385,280.632,51
0.100779,270.751,270.751,34
0.100787,272.727,272.727,2
0.100795,261.215,260.87,2
0.100803,180.83,180.83,2
0.100811,176.877,176.877,0
0.100819,175.296,174.901,3
