time_s,total_rate_gbps,reconstructed_rate_gbps,ecn_marks
0.0999937,0,0,0
0.100018,0,0,0
0.100026,0,0,0
0.100034,63.2411,63.2411,0
0.100042,126.482,126.482,0
0.10005,0,0,0
0.100058,0,0,0
0.100067,189.723,189.723,0
0.100075,126.482,126.482,0
0.100083,126.482,126.482,0
0.100091,63.2411,63.2411,0
0.100099,63.2411,63.2411,0
0.100107,63.2411,63.2411,0
0.100115,126.482,126.482,0
0.100123,126.482,126.482,0
0.100131,126.482,126.482,0
0.100139,63.2411,63.2411,0
0.100148,252.964,252.964,0
0.100156,379.447,379.447,0
0.100164,252.964,252.964,0
0.100172,252.964,252.964,0
0.10018,126.482,126.482,0
0.100188,126.482,126.482,0
0.100196,126.482,126.482,0
0.100204,63.2411,63.2411,0
0.100212,189.723,189.723,0
0.10022,316.206,316.206,0
0.100228,379.447,379.447,0
0.100237,316.206,316.206,0
0.100245,126.482,126.482,0
0.100253,505.929,505.929,0
0.100261,442.688,442.688,0
0.100269,63.2411,63.2411,0
0.100277,316.206,316.206,0
0.100285,569.17,569.17,0
0.100293,505.929,505.929,0
0.100301,632.411,632.411,0
0.100309,316.206,316.206,0
0.100318,252.964,252.964,0
0.100326,758.893,758.893,0
0.100334,316.206,316.206,1
0.100342,632.411,632.411,3
0.10035,252.964,252.964,2
0.100358,505.929,505.929,0
0.100366,316.206,316.206,2
0.100374,126.482,126.482,5
0.100382,189.723,189.723,1
0.10039,0,0,3
0.100398,316.206,316.206,1
0.100407,252.964,252.964,2
0.100415,316.206,316.206,1
0.100423,442.688,442.688,2
0.100431,63.2411,63.2411,3
0.100439,189.723,189.723,0
0.100447,252.964,252.964,1
0.100455,139.13,139.328,2
0.100463,126.482,126.482,1
0.100471,126.482,126.482,3
0.100479,126.482,126.482,0
0.100488,63.2411,63.2411,0
0.100496,252.964,252.964,0
0.100504,63.2411,63.2411,0
0.100512,442.688,442.688,0
0.10052,63.2411,63.2411,2
0.100528,379.447,379.447,0
0.100536,316.206,316.206,1
0.100544,126.482,126.482,0
0.100552,0,0,0
0.10056,252.964,252.964,0
0.100569,316.206,316.206,0
0.100577,505.929,505.929,0
0.100585,63.2411,63.2411,0
0.100593,316.206,316.206,0
0.100601,379.447,379.447,0
0.100609,252.964,252.964,0
0.100617,252.964,252.964,0
0.100625,316.206,316.206,0
0.100633,442.688,442.688,0
0.100641,252.964,252.964,3
0.100649,252.964,252.964,2
0.100658,189.723,189.723,0
0.100666,442.688,442.688,3
0.100674,569.17,569.17,3
0.100682,126.482,126.482,3
0.10069,442.688,442.688,2
0.100698,189.723,189.723,1
0.100706,379.447,379.447,3
0.100714,189.723,189.723,0
0.100722,316.206,316.206,2
0.10073,189.723,189.723,1
0.100739,252.964,252.964,3
0.100747,442.688,442.688,0
0.100755,252.964,252.964,1
0.100763,442.688,442.688,1
0.100771,442.688,442.688,0
0.100779,252.964,252.964,0
0.100787,252.964,252.964,0
0.100795,632.411,632.411,0
0.100803,63.2411,63.2411,0
0.100811,63.2411,63.2411,0
0.100819,126.482,126.482,0
0.100828,63.2411,63.2411,0
0.100836,379.447,379.447,0
0.100844,126.482,126.482,0
0.100852,252.964,252.964,0
0.10086,379.447,379.447,0
0.100868,379.447,379.447,0
0.100876,252.964,252.964,0
0.100884,316.206,316.206,0
0.100892,379.447,379.447,0
0.1009,126.482,126.482,0
0.100909,189.723,189.723,0
0.100917,0,0,0
0.100925,252.964,252.964,0
0.100933,189.723,189.723,0
0.100941,63.2411,63.2411,0
0.100949,63.2411,63.2411,0
0.100957,379.447,379.447,0
0.100965,379.447,379.447,0
0.100973,189.723,189.723,0
0.100981,252.964,252.964,0
0.10099,63.2411,63.2411,0
0.100998,126.482,126.482,0
0.101006,63.2411,63.2411,0
0.101014,189.723,189.723,0
0.101022,252.964,252.964,0
0.10103,252.964,252.964,0
0.101038,316.206,316.206,0
0.101046,316.206,316.206,0
0.101054,126.482,126.482,0
0.101062,316.206,316.206,0
0.10107,126.482,126.482,0
0.101079,63.2411,63.2411,3
0.101087,189.723,189.723,0
0.101095,0,0,2
0.101103,252.964,252.964,2
0.101111,290.909,290.514,2
0.101119,126.482,126.482,0
0.101127,63.2411,63.2411,0
0.101135,126.482,126.482,0
0.101143,126.482,126.482,2
0.101151,316.206,316.206,1
0.10116,316.206,316.206,2
0.101168,189.723,189.723,1
0.101176,0,0,0
0.101184,126.482,126.482,0
0.101192,0,0,0
0.1012,252.964,252.964,0
0.101208,126.482,126.482,0
0.101216,398.419,398.221,0
0.101224,252.964,252.964,0
0.101232,442.688,442.688,0
0.10124,233.992,234.19,0
0.101249,189.723,189.723,0
0.101257,189.723,189.723,0
0.101265,252.964,252.964,0
0.101273,316.206,316.206,0
0.101281,189.723,189.723,0
0.101289,189.723,189.723,0
0.101297,126.482,126.482,0
0.101305,63.2411,63.2411,0
0.101313,126.482,126.482,0
0.101321,316.206,316.206,0
0.10133,126.482,126.482,0
0.101338,252.964,252.964,0
0.101346,316.206,316.206,0
0.101354,189.723,189.723,0
0.101362,885.375,885.375,0
0.10137,758.893,758.893,0
0.101378,632.411,632.411,0
0.101386,569.17,569.17,0
0.101394,727.273,727.273,0
0.101402,632.411,632.411,1
0.10141,569.17,569.17,0
0.101419,316.206,316.206,1
0.101427,505.929,505.929,0
0.101435,505.929,505.929,8
0.101443,316.206,316.206,5
0.101451,316.206,316.206,2
0.101459,632.411,632.411,3
0.101467,442.688,442.688,2
0.101475,442.688,442.688,2
0.101483,316.206,316.206,6
0.101491,379.447,379.447,3
0.1015,252.964,252.964,2
0.101508,505.929,505.929,5
0.101516,189.723,189.723,3
0.101524,189.723,189.723,7
0.101532,632.411,632.411,2
0.10154,505.929,505.929,2
0.101548,189.723,189.723,1
0.101556,316.206,316.206,2
0.101564,252.964,252.964,3
0.101572,126.482,126.482,0
