flow_id,our_algorithm,our_memory_kb,our_are,auth_algorithm,auth_memory,auth_are,are_diff,our_packets
371,wavesketch-ideal,64,0.0,Naive-Sketch,24576,147.5,-147.5,425
371,fourier,64,0.0,Naive-Sketch,24576,147.5,-147.5,425
371,wavesketch-ideal,64,0.0,Naive-Sketch,24576,147.5,-147.5,425
371,fourier,64,0.0,Naive-Sketch,24576,147.5,-147.5,425
371,persistcms,64,0.131765,Naive-Sketch,24576,147.5,-147.368235,425
371,persistcms,64,0.131765,Naive-Sketch,24576,147.5,-147.368235,425
371,omniwindow,64,0.969412,Naive-Sketch,24576,147.5,-146.530588,425
371,omniwindow,64,0.969412,Naive-Sketch,24576,147.5,-146.530588,425
116,persistcms,64,0.0,Naive-Sketch,24576,142.5,-142.5,50
116,wavesketch-ideal,64,0.0,Naive-Sketch,24576,142.5,-142.5,50
116,fourier,64,0.0,Naive-Sketch,24576,142.5,-142.5,50
116,fourier,64,0.0,Naive-Sketch,24576,142.5,-142.5,50
116,wavesketch-ideal,64,0.0,Naive-Sketch,24576,142.5,-142.5,50
116,persistcms,64,0.0,Naive-Sketch,24576,142.5,-142.5,50
116,omniwindow,64,0.98,Naive-Sketch,24576,142.5,-141.52,50
116,omniwindow,64,0.98,Naive-Sketch,24576,142.5,-141.52,50
520,wavesketch-ideal,64,0.0,Naive-Sketch,24576,139.5,-139.5,1000
520,persistcms,64,0.0,Naive-Sketch,24576,139.5,-139.5,1000
520,persistcms,64,0.0,Naive-Sketch,24576,139.5,-139.5,1000
520,fourier,64,0.0,Naive-Sketch,24576,139.5,-139.5,1000
