time_s,max_queue_bytes
0.0999937,728
0.100018,1028
0.100026,1028
0.100034,1028
0.100042,1028
0.10005,1028
0.100058,1028
0.100067,1028
0.100075,1028
0.100083,1028
0.100091,1028
0.100099,1028
0.100107,1028
0.100115,1028
0.100123,1028
0.100131,1028
0.100139,1028
0.100148,1028
0.100156,1028
0.100164,1028
0.100172,1028
0.10018,1028
0.100188,1028
0.100196,1028
0.100204,1028
0.100212,1028
0.10022,1028
0.100228,1028
0.100237,1028
0.100245,1028
0.100253,1028
0.100261,9252
0.100269,22616
0.100277,51400
0.100285,50700
0.100293,63736
0.100301,148032
0.100309,236440
0.100318,324848
0.100326,377276
0.100334,399892
0.100342,399892
0.10035,399892
0.100358,399892
0.100366,399892
0.100374,399892
0.100382,399892
0.10039,399892
0.100398,399570
0.100407,399570
0.100415,399570
0.100423,399570
0.100431,399892
0.100439,399892
0.100447,399892
0.100455,399892
0.100463,399892
0.100471,399892
0.100479,399892
0.100488,390140
0.100496,332572
0.100504,288368
0.100512,236968
0.10052,223076
0.100528,203544
0.100536,157284
0.100544,107940
0.100552,56540
0.10056,6168
0.100569,42148
0.100577,66220
0.100585,97660
0.100593,124388
0.100601,173732
0.100609,240552
0.100617,307372
0.100625,399492
0.100633,399492
0.100641,399492
0.100649,399492
0.100658,399892
0.100666,399892
0.100674,399892
0.100682,399892
0.10069,399892
0.100698,399292
0.100706,399292
0.100714,399820
0.100722,399920
0.10073,399920
0.100739,380388
0.100747,312540
0.100755,237996
0.100763,168292
0.100771,120276
0.100779,131584
0.100787,143920
0.100795,149060
0.100803,118220
0.100811,152144
0.100819,242608
0.100828,307372
0.100836,306344
0.100844,278588
0.100852,251460
0.10086,224432
0.100868,199760
0.100876,186796
0.100884,145676
0.100892,113080
0.1009,104856
0.100909,30840
0.100917,1028
0.100925,1028
0.100933,1028
0.100941,1028
0.100949,1028
0.100957,1028
0.100965,1028
0.100973,1028
0.100981,1028
0.10099,1028
0.100998,1028
0.101006,1028
0.101014,1028
0.101022,1028
0.10103,1028
0.101038,78128
0.101046,177844
0.101054,276532
0.101062,376776
0.10107,399392
0.101079,399392
0.101087,399820
0.101095,399820
0.101103,399920
0.101111,399920
0.101119,399920
0.101127,399492
0.101135,398864
0.101143,398864
0.101151,398864
0.10116,398864
0.101168,398864
0.101176,394752
0.101184,309428
0.101192,225132
0.1012,141864
0.101208,59624
0.101216,1028
0.101224,1028
0.101232,1028
0.10124,1028
0.101249,1028
0.101257,1028
0.101265,1028
0.101273,1028
0.101281,1028
0.101289,1028
0.101297,1028
0.101305,1028
0.101313,1028
0.101321,16448
0.10133,16448
0.101338,11308
0.101346,11308
0.101354,108968
0.101362,210740
0.10137,311484
0.101378,336156
0.101386,342024
0.101394,349220
0.101402,355388
0.10141,399892
0.101419,399892
0.101427,399892
0.101435,399892
0.101443,399892
0.101451,399892
0.101459,399892
0.101467,399892
0.101475,399892
0.101483,399892
0.101491,399892
0.1015,399892
0.101508,399892
0.101516,399892
0.101524,399892
0.101532,399892
0.10154,399892
0.101548,399892
0.101556,399892
0.101564,399242
0.101572,399242
0.101581,399242
0.101589,399570
0.101597,390968
0.101605,346364
0.101613,313468
0.101621,261040
0.101629,187096
0.101637,209712
0.101645,231300
0.101653,253916
0.101661,272420
0.10167,301204
0.101678,332044
0.101686,345408
0.101694,343352
0.101702,341296
0.10171,339240
0.101718,336156
0.101726,329988
0.101734,327932
0.101742,322792
0.101751,235412
0.101759,188124
0.101767,288868
0.101775,337184
0.101783,314568
0.101791,268308
0.101799,284156
0.101807,386528
0.101815,399892
0.101823,399892
0.101831,399892
0.10184,399970
0.101848,399892
0.101856,399892
0.101864,399892
0.101872,399892
0.10188,399892
0.101888,399892
0.101896,399892
0.101904,399920
0.101912,399920
0.101921,399920
0.101929,399920
0.101937,399920
0.101945,399892
0.101953,399892
0.101961,399892
0.101969,399892
0.101977,399892
0.101985,399892
0.101993,399892
0.102002,399492
0.10201,399492
0.102018,399492
0.102026,399892
0.102034,399892
0.102042,399892
0.10205,399892
0.102058,399892
0.102066,399892
0.102074,399892
0.102082,399892
0.102091,399892
0.102099,399892
0.102107,399892
0.102115,399892
0.102123,399892
0.102131,399970
0.102139,399970
0.102147,367602
0.102155,352810
0.102163,380188
0.102172,399720
0.10218,399820
0.102188,399492
0.102196,399892
0.102204,399892
0.102212,399892
0.10222,399892
0.102228,399892
0.102236,399892
0.102244,399892
0.102252,399892
0.102261,399892
0.102269,399892
0.102277,399892
0.102285,399892
0.102293,399892
0.102301,399892
0.102309,399892
0.102317,399892
0.102325,399892
0.102333,399892
0.102342,399892
0.10235,399892
0.102358,399892
0.102366,399170
0.102374,399826
0.102382,399898
0.10239,399898
0.102398,399898
0.102406,399898
0.102414,399892
0.102422,399770
0.102431,399892
0.102439,399892
0.102447,399892
0.102455,399892
0.102463,399892
0.102471,399492
0.102479,399492
0.102487,397436
0.102495,396408
0.102503,375220
0.102512,338212
0.10252,333072
0.102528,319708
0.102536,286162
0.102544,275882
0.102552,273826
0.10256,272420
0.102568,270364
0.102576,273448
0.102584,323820
0.102593,363912
0.102601,399892
0.102609,399892
0.102617,399892
0.102625,399892
0.102633,399892
0.102641,399492
0.102649,399492
0.102657,399492
0.102665,399892
0.102673,399892
0.102682,399892
0.10269,399292
0.102698,399820
0.102706,399892
0.102714,399892
0.102722,399892
0.10273,399892
0.102738,399892
0.102746,399892
0.102754,399892
0.102763,399892
0.102771,399892
0.102779,364940
0.102787,385100
0.102795,399492
0.102803,399892
0.102811,399892
0.102819,399892
0.102827,399892
0.102835,399892
0.102843,399892
0.102852,399892
0.10286,399592
0.102868,399592
0.102876,387256
0.102884,368024
0.102892,372136
0.1029,373164
0.102908,354660
0.102916,335128
0.102924,315596
0.102933,315596
0.102941,307600
0.102949,290124
0.102957,308628
0.102965,337184
0.102973,363912
0.102981,391668
0.102989,399892
0.102997,399892
0.103005,399892
0.103014,373164
0.103022,333072
0.10303,288868
0.103038,246720
0.103046,211768
0.103054,189152
0.103062,153172
0.10307,114108
0.103078,79156
0.103086,52428
0.103094,26728
0.103103,1028
0.103111,1028
0.103119,1028
0.103127,1028
0.103135,14392
0.103143,65792
0.103151,99716
0.103159,89436
0.103167,60652
0.103175,38036
0.103184,58596
0.103192,88408
0.1032,115136
0.103208,125416
0.103216,109996
0.103224,145476
0.103232,211768
0.10324,211768
0.103248,294008
0.103256,302232
0.103264,298120
0.103273,294008
0.103281,288868
0.103289,266780
0.103297,254944
0.103305,296064
0.103313,328960
0.103321,315596
0.103329,269336
0.103337,283728
0.103345,299148
0.103354,315596
0.103362,329988
0.10337,344380
0.103378,359800
0.103386,371108
0.103394,383444
0.103402,399892
0.10341,399892
0.103418,399892
0.103426,367624
0.103434,311084
0.103443,292958
0.103451,334078
0.103459,373792
0.103467,399492
0.103475,399892
0.103483,399892
0.103491,399870
0.103499,399492
0.103507,399492
0.103515,399892
0.103524,399892
0.103532,399892
0.10354,399892
0.103548,399892
0.103556,399892
0.103564,399892
0.103572,399892
0.10358,399892
0.103588,399892
0.103596,399492
0.103605,399492
0.103613,399492
0.103621,399492
0.103629,376248
0.103637,378304
0.103645,388584
0.103653,390240
0.103661,390240
0.103669,390240
0.103677,390240
0.103685,390640
0.103694,399492
0.103702,399892
0.10371,399892
0.103718,399892
0.103726,399892
0.103734,399892
0.103742,399892
0.10375,399892
0.103758,399892
0.103766,399892
0.103775,399892
0.103783,399392
0.103791,399392
0.103799,399392
0.103807,399970
0.103815,399970
0.103823,399970
0.103831,388712
0.103839,399592
0.103847,373892
0.103855,321542
0.103864,308178
0.103872,289674
0.10388,277560
0.103888,278188
0.103896,286412
0.103904,293608
0.103912,283228
0.10392,258556
0.103928,232856
0.103936,209712
0.103945,178872
0.103953,195320
0.103961,231300
0.103969,267280
0.103977,298120
0.103985,303260
0.103993,320436
0.104001,321464
0.104009,322492
0.104017,325876
0.104026,315596
0.104034,281672
0.104042,276532
0.10405,259056
0.104058,225132
0.104066,178872
0.104074,95604
0.104082,66320
0.10409,87380
0.104098,120276
0.104106,142892
0.104115,150088
0.104123,156256
0.104131,153172
0.104139,117192
0.104147,77828
0.104155,79156
0.104163,58596
0.104171,123360
0.104179,156256
0.104187,184012
0.104196,193264
0.104204,209712
0.104212,300176
0.10422,375220
0.104228,399892
0.104236,399492
0.104244,399492
0.104252,399492
0.10426,399620
0.104268,399292
0.104276,396208
0.104285,392696
0.104293,388584
0.104301,383444
0.104309,385500
0.104317,398864
0.104325,399892
0.104333,399492
0.104341,399492
0.104349,399920
0.104357,399920
0.104366,399670
0.104374,399670
0.104382,399670
0.10439,382794
0.104398,315974
0.104406,251560
0.104414,242836
0.104422,234612
0.10443,225660
0.104438,240430
0.104446,242486
0.104455,218314
0.104463,191208
0.104471,258028
0.104479,359800
0.104487,399892
0.104495,399892
0.104503,399892
0.104511,399620
0.104519,399320
0.104527,399320
0.104536,399970
0.104544,399892
0.104552,399892
0.10456,399892
0.104568,399892
0.104576,399892
0.104584,399892
0.104592,399892
0.1046,399892
0.104608,399892
0.104617,399892
0.104625,399892
0.104633,399892
0.104641,399892
0.104649,399892
0.104657,399892
0.104665,399892
0.104673,399092
0.104681,399092
0.104689,399092
0.104697,399892
0.104706,399892
0.104714,399892
0.104722,399892
0.10473,399892
0.104738,399892
0.104746,399892
0.104754,399592
0.104762,399592
0.10477,399592
0.104778,399892
0.104787,399892
0.104795,399892
0.104803,399892
0.104811,399892
0.104819,399892
0.104827,399892
0.104835,399892
0.104843,399892
0.104851,399892
0.104859,399892
0.104867,399892
0.104876,399892
0.104884,399892
0.104892,399892
0.1049,399892
0.104908,399892
0.104916,399892
0.104924,399892
0.104932,399892
0.10494,399892
0.104948,399892
0.104957,399892
0.104965,399892
0.104973,399892
0.104981,399892
0.104989,399892
0.104997,399892
0.105005,399892
0.105013,399892
0.105021,399892
0.105029,399892
0.105038,399892
0.105046,399892
0.105054,399892
0.105062,399892
0.10507,399892
0.105078,399892
0.105086,399892
0.105094,399892
0.105102,399892
0.10511,399892
0.105118,399892
0.105127,399892
0.105135,399892
0.105143,399892
0.105151,399892
0.105159,399892
0.105167,399892
0.105175,399892
0.105183,399920
0.105191,399920
0.105199,399892
0.105208,399892
0.105216,399892
0.105224,399892
0.105232,399892
0.10524,399892
0.105248,399892
0.105256,399892
0.105264,399392
0.105272,399892
0.10528,399892
0.105288,399892
0.105297,399892
0.105305,399892
0.105313,399892
0.105321,399892
0.105329,399892
0.105337,399892
0.105345,399892
0.105353,399192
0.105361,399192
0.105369,399892
0.105378,399492
0.105386,395380
0.105394,399492
0.105402,399892
0.10541,399892
0.105418,399892
0.105426,399892
0.105434,399070
0.105442,399070
0.10545,399470
0.105458,392274
0.105467,399920
0.105475,399920
0.105483,399892
0.105491,399892
0.105499,399892
0.105507,399892
0.105515,399892
0.105523,399892
0.105531,399892
0.105539,399892
0.105548,399892
0.105556,399892
0.105564,399892
0.105572,399892
0.10558,399892
0.105588,399892
0.105596,399892
0.105604,399892
0.105612,399892
0.10562,399892
0.105629,399892
0.105637,399970
0.105645,399970
0.105653,399970
0.105661,399892
0.105669,399892
0.105677,396808
0.105685,394830
0.105693,399970
0.105701,399970
0.105709,399970
0.105718,399892
0.105726,399892
0.105734,399892
0.105742,399892
0.10575,399892
0.105758,399892
0.105766,399892
0.105774,399892
0.105782,399892
0.10579,399892
0.105799,399242
0.105807,399242
0.105815,397236
0.105823,391668
0.105831,387056
0.105839,383972
0.105847,399392
0.105855,399892
0.105863,399892
0.105871,399892
0.105879,399892
0.105888,399242
0.105896,399892
0.105904,399892
0.105912,399892
0.10592,398214
0.105928,399770
0.105936,399770
0.105944,399770
0.105952,399770
0.10596,399892
0.105969,391668
0.105977,397836
0.105985,399892
0.105993,399892
0.106001,399892
0.106009,399592
0.106017,399592
0.106025,399092
0.106033,399392
0.106041,399392
0.10605,399892
0.106058,399892
0.106066,399892
0.106074,399892
0.106082,399892
0.10609,399920
0.106098,399920
0.106106,399920
0.106114,393752
0.106122,379332
0.10613,399592
0.106139,383144
0.106147,339968
0.106155,300904
0.106163,269336
0.106171,264196
0.106179,264196
0.106187,264196
0.106195,262140
0.106203,247748
