time_s,algorithm,memory_kb,flow_id,packets,are,cosine_sim
2,fourier,256,211110695338241,1854,1,1
3,fourier,256,211110695338241,3867,0.997573,0.67746
4,fourier,256,211110695338241,5631,0.998382,0.56942
4,fourier,256,211110695338497,46,1,1
5,fourier,256,211110695338241,7391,0.997227,0.686073
5,fourier,256,211110695338497,89,0.967391,0.730527
6,fourier,256,211110695338241,9436,0.996532,0.729637
6,fourier,256,211110695338497,93,0.947253,0.982643
7,fourier,256,211110695338241,10605,0.996947,0.750498
7,fourier,256,211110695338497,814,0.83544,0.0815899
8,fourier,256,211110695338241,11420,0.993473,0.591096
8,fourier,256,211110695338497,1973,0.857811,0.5285
9,fourier,256,211110695338241,13292,0.98754,0.478705
9,fourier,256,211110695338497,2196,0.875613,0.967603
10,fourier,256,211110695338241,15217,0.987975,0.525055
10,fourier,256,211110695338497,2237,0.878649,0.956045
12,fourier,256,211110695338241,15427,0.988762,0.56915
12,fourier,256,211110695338497,2436,0.884671,0.946621
