time_s,algorithm,memory_kb,flow_id,packets,are,cosine_sim
2,omniwindow,192,211110695338241,1854,1,1
3,omniwindow,192,211110695338241,3867,1,1
4,omniwindow,192,211110695338241,5631,1,1
4,omniwindow,192,211110695338497,46,1,1
5,omniwindow,192,211110695338241,7391,1,1
5,omniwindow,192,211110695338497,89,1,1
6,omniwindow,192,211110695338241,9436,1,1
6,omniwindow,192,211110695338497,93,1,1
7,omniwindow,192,211110695338241,10605,1,1
7,omniwindow,192,211110695338497,814,1,1
8,omniwindow,192,211110695338241,11420,1,1
8,omniwindow,192,211110695338497,1973,1,1
9,omniwindow,192,211110695338241,13292,1,1
9,omniwindow,192,211110695338497,2196,1,1
10,omniwindow,192,211110695338241,15217,1,1
10,omniwindow,192,211110695338497,2237,1,1
12,omniwindow,192,211110695338241,15427,1,1
12,omniwindow,192,211110695338497,2436,1,1
