time_s,algorithm,memory_kb,flow_id,k,window_us,packets,are,cosine_sim,euclidean_dist,energy_sim
0,wavesketch-ideal,16,27,1365,1000000,943,0,1,0,1
0,wavesketch-ideal,16,70,1365,1000000,10,0,1,0,1
0,wavesketch-ideal,16,116,1365,1000000,50,0,1,0,1
0,wavesketch-ideal,16,123,1365,1000000,50,0,1,0,1
0,wavesketch-ideal,16,127,1365,1000000,10,0,1,0,1
0,wavesketch-ideal,16,149,1365,1000000,964,0,1,0,1
0,wavesketch-ideal,16,209,1365,1000000,20,0,1,0,1
0,wavesketch-ideal,16,225,1365,1000000,30,0,1,0,1
0,wavesketch-ideal,16,250,1365,1000000,200,0,1,0,1
0,wavesketch-ideal,16,291,1365,1000000,80,0,1,0,1
0,wavesketch-ideal,16,335,1365,1000000,200,0,1,0,1
0,wavesketch-ideal,16,371,1365,1000000,1333,0,1,0,1
0,wavesketch-ideal,16,491,1365,1000000,30,1.66667,1,50,0.140625
0,wavesketch-ideal,16,520,1365,1000000,1000,0,1,0,1
0,wavesketch-ideal,16,568,1365,1000000,80,0,1,0,1
0,fourier,16,27,1365,1000000,943,0,1,0,1
0,fourier,16,70,1365,1000000,10,0,1,0,1
0,fourier,16,116,1365,1000000,50,0,1,0,1
0,fourier,16,123,1365,1000000,50,0,1,0,1
0,fourier,16,127,1365,1000000,10,0,1,0,1
0,fourier,16,149,1365,1000000,964,0,1,0,1
0,fourier,16,209,1365,1000000,20,0,1,0,1
0,fourier,16,225,1365,1000000,30,0,1,0,1
0,fourier,16,250,1365,1000000,200,0,1,0,1
0,fourier,16,291,1365,1000000,80,0,1,0,1
0,fourier,16,335,1365,1000000,200,0,1,0,1
0,fourier,16,371,1365,1000000,1333,0,1,0,1
0,fourier,16,491,1365,1000000,30,0,1,0,1
0,fourier,16,520,1365,1000000,1000,0,1,0,1
0,fourier,16,568,1365,1000000,80,0,1,0,1
0,omniwindow,16,27,1365,1000000,943,0.969247,1,914,0.000945742
0,omniwindow,16,70,1365,1000000,10,1,1,10,0
0,omniwindow,16,116,1365,1000000,50,0.98,1,49,0.0004
0,omniwindow,16,123,1365,1000000,50,0.98,1,49,0.0004
0,omniwindow,16,127,1365,1000000,10,1,1,10,0
0,omniwindow,16,149,1365,1000000,964,0.96888,1,934,0.000968475
0,omniwindow,16,209,1365,1000000,20,1,1,20,0
0,omniwindow,16,225,1365,1000000,30,1,1,30,0
0,omniwindow,16,250,1365,1000000,200,0.97,1,194,0.0009
0,omniwindow,16,291,1365,1000000,80,0.975,1,78,0.000625
0,omniwindow,16,335,1365,1000000,200,0.97,1,194,0.0009
0,omniwindow,16,371,1365,1000000,1333,0.969242,1,1292,0.000946035
0,omniwindow,16,491,1365,1000000,30,1,1,30,0
0,omniwindow,16,520,1365,1000000,1000,0.969,1,969,0.000961
0,omniwindow,16,568,1365,1000000,80,0.975,1,78,0.000625
0,persistcms,16,27,1365,1000000,943,0,1,0,1
0,persistcms,16,70,1365,1000000,10,20,1,200,0.00226757
0,persistcms,16,116,1365,1000000,50,0,1,0,1
0,persistcms,16,123,1365,1000000,50,0,1,0,1
0,persistcms,16,127,1365,1000000,10,0,1,0,1
0,persistcms,16,149,1365,1000000,964,0.0829876,1,80,0.852615
0,persistcms,16,209,1365,1000000,20,1.5,1,30,0.16
0,persistcms,16,225,1365,1000000,30,0.666667,1,20,0.36
0,persistcms,16,250,1365,1000000,200,0,1,0,1
0,persistcms,16,291,1365,1000000,80,0,1,0,1
0,persistcms,16,335,1365,1000000,200,0,1,0,1
0,persistcms,16,371,1365,1000000,1333,0.112528,1,150,0.807938
0,persistcms,16,491,1365,1000000,30,1.66667,1,50,0.140625
0,persistcms,16,520,1365,1000000,1000,0,1,0,1
0,persistcms,16,568,1365,1000000,80,0,1,0,1
